Trade Date,Posted Date,Settle Date,Transaction Type,Security,Ticker Symbol,CUSIP,Quantity,Value,Currency,Paid to (from),Fees,Price Per Share,Principal Factor,Ex-Date
2021-04-01,2021-04-01,2021-04-06,Asset Sold,JPMorgan Ultra SHRT Muncipl Incm ETF,JMST,46641Q654,-750.0,38276.05,USD,Cash,0.2,51.035,,
2021-04-01,2021-04-01,2021-04-01,Cash Dividend,Mckesson Corp Exchange Offer,MCK,58155Q103,0.0,35.7,USD,Cash,,,,2021-03-01
2021-04-01,2021-04-01,2021-04-01,Management Fee,Holding Account,,,0.0,-1273.95,USD,(Cash),,,,
2021-04-01,2021-04-01,2021-04-01,Cash Dividend,Nike Inc Class                  B,NKE,654106103,0.0,55.0,USD,Cash,,,,2021-02-26
2021-04-01,2021-04-01,2021-04-01,Interest Received,Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,,30382ACF7,0.0,2500.0,USD,Cash,,,,
2021-03-31,2021-03-31,2021-03-31,Cash Dividend,Ishars Edg MSCI USA QLTY FCTR ETF,QUAL,46432F339,0.0,107.98,USD,Cash,,,,2021-03-25
2021-03-31,2021-03-31,2021-04-05,Asset Sold,Cummins Inc,CMI,231021106,-25.0,6551.72,USD,Cash,0.03,262.07,,
2021-03-31,2021-03-31,2021-03-31,Cash Dividend,Broadcom Inc,AVGO,11135F101,0.0,180.0,USD,Cash,,,,2021-03-19
2021-03-31,2021-03-31,2021-03-31,Cash Dividend,iShares Core S&P Mid Cap ETF,IJH,464287507,0.0,166.8,USD,Cash,,,,2021-03-25
2021-03-26,2021-03-26,2021-03-26,Cash Dividend,Bank Of America Corp,BAC,060505104,0.0,144.0,USD,Cash,,,,2021-03-04
2021-03-26,2021-03-26,2021-03-26,Cash Dividend,L3harris Technologies In,LHX,502431109,0.0,76.5,USD,Cash,,,,2021-03-11
2021-03-25,2021-03-25,2021-03-25,Cash Dividend,CIGNA Corp,CI,125523100,0.0,130.0,USD,Cash,,,,2021-03-09
2021-03-25,2021-03-25,2021-03-25,Cash Dividend,SPDR S&P 600 Small Cap Value ETF,SLYV,78464A300,0.0,275.83,USD,Cash,,,,2021-03-22
2021-03-25,2021-03-25,2021-03-25,Cash Dividend,Home Depot Inc,HD,437076102,0.0,181.5,USD,Cash,,,,2021-03-10
2021-03-25,2021-03-25,2021-03-25,Cash Dividend,Vanguard FTSE Developed Markets ETF,VEA,921943858,0.0,624.24,USD,Cash,,,,2021-03-22
2021-03-23,2021-03-23,2021-03-23,Cash Dividend,BlackRock Inc,BLK,09247X101,0.0,144.55,USD,Cash,,,,2021-03-04
2021-03-15,2021-03-16,2021-03-15,Interest Received,USD,,,0.02,0.02,USD,Cash,,,,
2021-03-15,2021-03-16,2021-03-15,Interest Received,USD,,,1.29,1.29,USD,Cash,,,,
2021-03-15,2021-03-15,2021-03-15,Interest Received,VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,,927790DL6,0.0,3000.0,USD,Cash,,,,
2021-03-15,2021-03-15,2021-03-15,Cash Dividend,Schwab Value Advantage Money Fund,SWVXX,808515605,0.0,0.89,USD,Cash,,,,
2021-03-11,2021-03-11,2021-03-11,Cash Dividend,Microsoft Corp,MSFT,594918104,0.0,112.0,USD,Cash,,,,2021-02-17
2021-03-11,2021-03-11,2021-03-11,Cash Dividend,Prudential Finl,PRU,744320102,0.0,230.0,USD,Cash,,,,2021-02-12
2021-03-10,2021-03-10,2021-03-10,Cash Dividend,Marathon Pete Corp,MPC,56585A102,0.0,188.5,USD,Cash,,,,2021-02-16
2021-03-10,2021-03-10,2021-03-10,Cash Dividend,Emerson Electric Co,EMR,291011104,0.0,126.25,USD,Cash,,,,2021-02-11
2021-03-10,2021-03-10,2021-03-10,Cash Dividend,Norfolk Southern Co,NSC,655844108,0.0,59.4,USD,Cash,,,,2021-02-04
2021-03-10,2021-03-10,2021-03-10,Cash Dividend,United Parcel SRVC Class                  B,UPS,911312106,0.0,153.0,USD,Cash,,,,2021-02-19
2021-03-10,2021-03-10,2021-03-10,Cash Dividend,Chevron Corp,CVX,166764100,0.0,212.85,USD,Cash,,,,2021-02-16
2021-03-09,2021-03-09,2021-03-09,Cash Dividend,Johnson & Johnson,JNJ,478160104,0.0,151.5,USD,Cash,,,,2021-02-22
2021-03-08,2021-03-08,2021-03-08,Cash Dividend,Amgen Inc.,AMGN,031162100,0.0,105.6,USD,Cash,,,,2021-02-11
2021-03-05,2021-03-05,2021-03-05,Cash Dividend,Starbucks Corp,SBUX,855244109,0.0,101.25,USD,Cash,,,,2021-02-17
2021-03-04,2021-03-04,2021-03-04,Cash Dividend,Cummins Inc,CMI,231021106,0.0,101.25,USD,Cash,,,,2021-02-18
2021-03-04,2021-03-04,2021-03-04,Cash Dividend,JPMorgan Ultra SHRT Muncipl Incm ETF,JMST,46641Q654,0.0,165.92,USD,Cash,,,,2021-03-01
2021-03-04,2021-03-04,2021-03-04,Cash Dividend,Discover Finl S,DFS,254709108,0.0,110.0,USD,Cash,,,,2021-02-17
2021-03-01,2021-03-01,2021-03-01,Cash Dividend,Intel Corp,INTC,458140100,0.0,225.88,USD,Cash,,,,2021-02-04
2021-03-01,2021-03-01,2021-03-01,Cash Dividend,Kroger Co,KR,501044101,0.0,63.0,USD,Cash,,,,2021-02-11
2021-03-01,2021-03-01,2021-03-01,Interest Received,Hampton VA          5%23 Go Utx      Due 09/01/23,,4095583Z4,0.0,2500.0,USD,Cash,,,,
2021-02-26,2021-02-26,2021-02-26,Cash Dividend,Charles Schwab Corp,SCHW,808513105,0.0,72.0,USD,Cash,,,,2021-02-11
2021-02-25,2021-02-25,2021-02-26,Asset Sold,Schwab Value Advantage Money Fund,SWVXX,808515605,-100000.0,100000.0,USD,Cash,,1.0,,
2021-02-24,2021-02-24,2021-02-26,Asset Bought,Exxon Mobil Corp,XOM,30231G102,150.0,-8475.75,USD,(Cash),,56.505,,
2021-02-24,2021-02-24,2021-02-26,Asset Sold,Cisco Systems Inc,CSCO,17275R102,-500.0,22711.93,USD,Cash,0.12,45.424099999999996,,
2021-02-24,2021-02-24,2021-02-26,Asset Sold,Eastman Chemical Co,EMN,277432100,-25.0,2849.62,USD,Cash,0.01,113.9852,,
2021-02-24,2021-02-24,2021-02-26,Asset Sold,Merck & Co. Inc.,MRK,58933Y105,-200.0,14998.92,USD,Cash,0.08,74.995,,
2021-02-24,2021-02-24,2021-02-26,Asset Sold,Adobe Inc,ADBE,00724F101,-20.0,9440.25,USD,Cash,0.05,472.015,,
2021-02-24,2021-02-24,2021-02-26,Asset Sold,Procter & Gamble,PG,742718109,-45.0,5742.2,USD,Cash,0.03,127.6051111111111,,
2021-02-24,2021-02-24,2021-02-26,Asset Sold,Chevron Corp,CVX,166764100,-165.0,16988.329999999998,USD,Cash,0.09,102.96012121212121,,
2021-02-24,2021-02-24,2021-02-26,Asset Bought,Boston Scientific Co,BSX,101137107,200.0,-7877.72,USD,(Cash),,39.388600000000004,,
2021-02-19,2021-02-19,2021-02-19,Withdrawal,USD,,,-50000.0,-50000.0,USD,,,,,
2021-02-18,2021-02-18,2021-02-19,Asset Sold,Schwab Value Advantage Money Fund,SWVXX,808515605,-100000.0,100000.0,USD,Cash,,1.0,,
2021-02-16,2021-02-16,2021-02-16,Withdrawal,USD,,,-50000.0,-50000.0,USD,,,,,
2021-02-16,2021-02-16,2021-02-16,Cash Dividend,Procter & Gamble,PG,742718109,0.0,154.19,USD,Cash,,,,2021-01-21
2021-02-15,2021-02-16,2021-02-15,Interest Received,USD,,,0.02,0.02,USD,Cash,,,,
2021-02-16,2021-02-16,2021-02-16,Cash Dividend,Schwab Value Advantage Money Fund,SWVXX,808515605,0.0,5.82,USD,Cash,,,,
2021-02-15,2021-02-16,2021-02-15,Interest Received,USD,,,0.56,0.56,USD,Cash,,,,
2021-02-16,2021-02-16,2021-02-16,Cash Dividend,Abbvie Inc,ABBV,00287Y109,0.0,169.0,USD,Cash,,,,2021-01-14
2021-02-11,2021-02-11,2021-02-11,Cash Dividend,Apple Inc,AAPL,037833100,0.0,92.25,USD,Cash,,,,2021-02-05
2021-02-10,2021-02-10,2021-02-11,Asset Sold,Schwab Value Advantage Money Fund,SWVXX,808515605,-50000.0,50000.0,USD,Cash,,1.0,,
2021-02-09,2021-02-09,2021-02-09,Cash Dividend,Mastercard Inc Class                  A,MA,57636Q104,0.0,55.0,USD,Cash,,,,2021-01-07
2021-02-08,2021-02-08,2021-02-08,Cash Dividend,Masco Corp,MAS,574599106,0.0,28.0,USD,Cash,,,,2021-01-07
2021-02-04,2021-02-04,2021-02-04,Cash Dividend,JPMorgan Ultra SHRT Muncipl Incm ETF,JMST,46641Q654,0.0,94.96,USD,Cash,,,,2021-02-01
2021-02-01,2021-02-02,2021-02-02,Interest Received,Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,,041431MT1,0.0,2000.0,USD,Cash,,,,
2021-02-01,2021-02-01,2021-02-01,Interest Received,VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,,928172D93,0.0,3750.0,USD,Cash,,,,
2021-01-31,2021-02-01,2021-02-01,Cash Dividend,J P Morgan Chase & Co,JPM,46625H100,0.0,180.0,USD,Cash,,,,2021-01-05
2021-01-27,2021-01-27,2021-01-27,Cash Dividend,Comcast Corp Class                  A,CMCSA,20030N101,0.0,115.0,USD,Cash,,,,2021-01-05
2021-01-27,2021-01-27,2021-01-27,Cash Dividend,Agilent Technologies,A,00846U101,0.0,32.01,USD,Cash,,,,2021-01-04
2021-01-20,2021-01-20,2021-01-20,Cash Dividend,Cisco Systems Inc,CSCO,17275R102,0.0,180.0,USD,Cash,,,,2021-01-04
2021-01-19,2021-01-19,2021-01-20,Asset Sold,Schwab Value Advantage Money Fund,SWVXX,808515605,-50000.0,50000.0,USD,Cash,,1.0,,
2021-01-15,2021-01-19,2021-01-15,Interest Received,USD,,,4.5,4.5,USD,Cash,,,,
2021-01-15,2021-01-19,2021-01-15,Interest Received,USD,,,1.52,1.52,USD,Cash,,,,
2021-01-15,2021-01-15,2021-01-15,Withdrawal,USD,,,-200000.0,-200000.0,USD,,,,,
2021-01-15,2021-01-15,2021-01-15,Withdrawal,USD,,,-84964.47,-84964.47,USD,,,,,
2021-01-15,2021-01-15,2021-01-15,Cash Dividend,Schwab Value Advantage Money Fund,SWVXX,808515605,0.0,3.73,USD,Cash,,,,
2021-01-12,2021-01-12,2021-01-12,Cash Dividend,Cerner Corp,CERN,156782104,0.0,55.0,USD,Cash,,,,2020-12-24
2021-01-08,2021-01-08,2021-01-08,Cash Dividend,Eastman Chemical Co,EMN,277432100,0.0,189.75,USD,Cash,,,,2020-12-14
2021-01-08,2021-01-08,2021-01-08,Cash Dividend,Merck & Co. Inc.,MRK,58933Y105,0.0,130.0,USD,Cash,,,,2020-12-14
2021-01-06,2021-01-06,2021-01-06,Withdrawal,USD,,,-150000.0,-150000.0,USD,,,,,
2021-01-04,2021-01-04,2021-01-04,Management Fee,Holding Account,,,0.0,-1122.27,USD,(Cash),,,,
2021-01-04,2021-01-04,2021-01-04,Cash Dividend,Mckesson Corp Exchange Offer,MCK,58155Q103,0.0,35.7,USD,Cash,,,,2020-11-30
2021-01-04,2021-01-04,2021-01-04,Cash Dividend,WalMart Inc,WMT,931142103,0.0,116.1,USD,Cash,,,,2020-12-10
2021-01-04,2021-01-04,2021-01-04,Withdrawal,USD,,,-50000.0,-50000.0,USD,,,,,
2020-12-31,2020-12-31,2020-12-31,Capital Gains Distribution,Schwab Value Advantage Money Fund,SWVXX,808515605,0.0,2.27,USD,Cash,,,,
2020-12-31,2020-12-31,2020-12-31,Cash Dividend,Broadcom Inc,AVGO,11135F101,0.0,180.0,USD,Cash,,,,2020-12-18
2020-12-31,2020-12-31,2021-01-05,Asset Bought,JPMorgan Ultra SHRT Muncipl Incm ETF,JMST,46641Q654,8000.0,-408399.2,USD,(Cash),,51.0499,,
2020-12-31,2020-12-31,2020-12-31,Cash Dividend,Schwab Value Advantage Money Fund,SWVXX,808515605,0.0,11.92,USD,Cash,,,,
2020-12-31,2020-12-31,2020-12-31,Withdrawal,USD,,,-50000.0,-50000.0,USD,,,,,
2020-12-29,2020-12-29,2020-12-29,Cash Dividend,Nike Inc Class                  B,NKE,654106103,0.0,55.0,USD,Cash,,,,2020-12-04
2020-12-29,2020-12-29,2020-12-29,Withdrawal,USD,,,-6500.49,-6500.49,USD,,,,,
2020-12-24,2020-12-24,2020-12-24,Cash Dividend,Vanguard FTSE Developed Markets ETF,VEA,921943858,0.0,1119.69,USD,Cash,,,,2020-12-21
2020-12-24,2020-12-24,2020-12-24,Withdrawal,USD,,,-3000.0,-3000.0,USD,,,,,
2020-12-24,2020-12-24,2020-12-24,Cash Dividend,Bank Of America Corp,BAC,060505104,0.0,144.0,USD,Cash,,,,2020-12-03
2020-12-24,2020-12-24,2020-12-24,Cash Dividend,SPDR S&P 600 Small Cap Value ETF,SLYV,78464A300,0.0,231.62,USD,Cash,,,,2020-12-21
2020-12-21,2020-12-21,2020-12-21,Cash Dividend,BlackRock Inc,BLK,09247X101,0.0,127.05,USD,Cash,,,,2020-12-03
2020-12-18,2020-12-18,2020-12-18,Cash Dividend,iShares MSCI Emerging Markets ETF,EEM,464287234,0.0,700.51,USD,Cash,,,,2020-12-14
2020-12-18,2020-12-18,2020-12-18,Cash Dividend,iShares MSCI EAFE Growth ETF,EFG,464288885,0.0,244.96,USD,Cash,,,,2020-12-14
2020-12-18,2020-12-18,2020-12-18,Cash Dividend,Ishars Edg MSCI USA QLTY FCTR ETF,QUAL,46432F339,0.0,81.56,USD,Cash,,,,2020-12-14
2020-12-18,2020-12-18,2020-12-18,Cash Dividend,iShares Core S&P Mid Cap ETF,IJH,464287507,0.0,164.91,USD,Cash,,,,2020-12-14
2020-12-17,2020-12-17,2020-12-17,Cash Dividend,Home Depot Inc,HD,437076102,0.0,165.0,USD,Cash,,,,2020-12-02
2020-12-17,2020-12-17,2020-12-17,Cash Dividend,Prudential Finl,PRU,744320102,0.0,220.0,USD,Cash,,,,2020-11-23
2020-12-15,2020-12-16,2020-12-15,Interest Received,USD,,,1.78,1.78,USD,Cash,,,,
2020-12-15,2020-12-16,2020-12-15,Interest Received,USD,,,2.16,2.16,USD,Cash,,,,
2020-12-14,2020-12-14,2020-12-14,Withdrawal,USD,,,-20294.27,-20294.27,USD,,,,,
2020-12-14,2020-12-14,2020-12-14,Deposit,USD,,,267375.0,267375.0,USD,,,,,
2020-12-14,2020-12-14,2020-12-14,Deposit,USD,,,240000.0,240000.0,USD,,,,,
2020-12-10,2020-12-10,2020-12-10,Cash Dividend,Chevron Corp,CVX,166764100,0.0,212.85,USD,Cash,,,,2020-11-17
2020-12-10,2020-12-10,2020-12-10,Cash Dividend,Marathon Pete Corp,MPC,56585A102,0.0,188.5,USD,Cash,,,,2020-11-17
2020-12-10,2020-12-10,2020-12-10,Cash Dividend,Emerson Electric Co,EMR,291011104,0.0,126.25,USD,Cash,,,,2020-11-12
2020-12-10,2020-12-10,2020-12-10,Cash Dividend,Microsoft Corp,MSFT,594918104,0.0,112.0,USD,Cash,,,,2020-11-18
2020-12-10,2020-12-10,2020-12-10,Cash Dividend,Norfolk Southern Co,NSC,655844108,0.0,56.4,USD,Cash,,,,2020-11-05
2020-12-08,2020-12-08,2020-12-08,Cash Dividend,Amgen Inc.,AMGN,031162100,0.0,96.0,USD,Cash,,,,2020-11-13
2020-12-08,2020-12-08,2020-12-08,Cash Dividend,Johnson & Johnson,JNJ,478160104,0.0,151.5,USD,Cash,,,,2020-11-23
2020-12-04,2020-12-04,2020-12-04,Cash Dividend,L3harris Technologies In,LHX,502431109,0.0,63.75,USD,Cash,,,,2020-11-19
2020-12-03,2020-12-03,2020-12-03,Cash Dividend,Cummins Inc,CMI,231021106,0.0,101.25,USD,Cash,,,,2020-11-19
2020-12-03,2020-12-03,2020-12-03,Cash Dividend,Discover Finl S,DFS,254709108,0.0,110.0,USD,Cash,,,,2020-11-18
2020-12-03,2020-12-03,2020-12-03,Cash Dividend,United Parcel SRVC Class                  B,UPS,911312106,0.0,151.5,USD,Cash,,,,2020-11-12
2020-12-01,2020-12-01,2020-12-01,Cash Dividend,Kroger Co,KR,501044101,0.0,63.0,USD,Cash,,,,2020-11-12
2020-12-01,2020-12-01,2020-12-01,Cash Dividend,Intel Corp,INTC,458140100,0.0,214.5,USD,Cash,,,,2020-11-05
2020-11-27,2020-11-27,2020-11-27,Cash Dividend,Starbucks Corp,SBUX,855244109,0.0,101.25,USD,Cash,,,,2020-11-10
2020-11-27,2020-11-27,2020-11-27,Cash Dividend,Charles Schwab Corp,SCHW,808513105,0.0,72.0,USD,Cash,,,,2020-11-12
2020-11-24,2020-11-24,2020-11-24,Withdrawal,USD,,,-50000.0,-50000.0,USD,,,,,
2020-11-15,2020-11-16,2020-11-15,Interest Received,USD,,,1.45,1.45,USD,Cash,,,,
2020-11-15,2020-11-16,2020-11-15,Interest Received,USD,,,0.54,0.54,USD,Cash,,,,
2020-11-16,2020-11-16,2020-11-16,Cash Dividend,Abbvie Inc,ABBV,00287Y109,0.0,324.5,USD,Cash,,,,2020-10-14
2020-11-16,2020-11-16,2020-11-16,Cash Dividend,Procter & Gamble,PG,742718109,0.0,197.68,USD,Cash,,,,2020-10-22
2020-11-16,2020-11-16,2020-11-16,Cash Dividend,Schwab Value Advantage Money Fund,SWVXX,808515605,0.0,2.72,USD,Cash,,,,
2020-11-12,2020-11-12,2020-11-12,Interest Received,USD,,,0.01,0.01,USD,Cash,,,,
2020-11-12,2020-11-12,2020-11-12,Interest Received,USD,,,0.14,0.14,USD,Cash,,,,
2020-11-12,2020-11-12,2020-11-12,Cash Dividend,Apple Inc,AAPL,037833100,0.0,92.25,USD,Cash,,,,2020-11-06
