Owned_Name,Owned_Type,Date,Price,Currency,Principal_Factor
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,11/26/2020,1113.0478,USD,1
Bank Of America Corp,Stock,11/26/2020,29.03,USD,-
Becton Dickinson&co,Stock,11/26/2020,0.0,USD,-
BlackRock Inc,Stock,11/26/2020,703.61,USD,-
Borgwarner Inc Com,Stock,11/26/2020,0.0,USD,-
Boston Scientific Co,Stock,11/26/2020,0.0,USD,-
Bristol-Myers Squibb,Stock,11/26/2020,0.0,USD,-
Broadcom Inc,Stock,11/26/2020,390.83,USD,-
Cash,Cash,11/26/2020,1.0,USD,-
Cerner Corp,Stock,11/26/2020,74.12,USD,-
Change Healthcare Inc,Stock,11/26/2020,0.0,USD,-
Charles Schwab Corp,Stock,11/26/2020,49.93,USD,-
Chevron Corp,Stock,11/26/2020,93.43,USD,-
CIGNA Corp,Stock,11/26/2020,207.01,USD,-
Cisco Systems Inc,Stock,11/26/2020,42.5,USD,-
Comcast Corp Class                  A,Stock,11/26/2020,51.8,USD,-
Cummins Inc,Stock,11/26/2020,231.74,USD,-
Discover Finl S,Stock,11/26/2020,79.73,USD,-
Eastman Chemical Co,Stock,11/26/2020,99.84,USD,-
Emerson Electric Co,Stock,11/26/2020,78.765,USD,-
Exxon Mobil Corp,Stock,11/26/2020,0.0,USD,-
Facebook Inc Class                  A,Stock,11/26/2020,275.59,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,11/26/2020,1143.6089,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,11/26/2020,1142.3756,USD,1
Home Depot Inc,Stock,11/26/2020,273.96,USD,-
Intel Corp,Stock,11/26/2020,47.38,USD,-
iShares Core S&P Mid Cap ETF,ETF,11/26/2020,219.85,USD,-
iShares MSCI EAFE Growth ETF,ETF,11/26/2020,96.29,USD,-
iShares MSCI Emerging Markets ETF,ETF,11/26/2020,49.57,USD,-
Ishars Edg MSCI USA QLTY FCTR ETF,ETF,11/26/2020,112.62,USD,-
J P Morgan Chase & Co,Stock,11/26/2020,122.03,USD,-
Jabil Circuit Inc,Stock,11/26/2020,0.0,USD,-
Johnson & Johnson,Stock,11/26/2020,144.69,USD,-
JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,11/26/2020,0.0,USD,-
Kroger Co,Stock,11/26/2020,32.5,USD,-
L3harris Technologies In,Stock,11/26/2020,195.83,USD,-
Marathon Pete Corp,Stock,11/26/2020,42.06,USD,-
Masco Corp,Stock,11/26/2020,54.16,USD,-
Mastercard Inc Class                  A,Stock,11/26/2020,341.32,USD,-
Mckesson Corp Exchange Offer,Stock,11/26/2020,179.5,USD,-
Merck & Co. Inc.,Stock,11/26/2020,80.06,USD,-
Microsoft Corp,Stock,11/26/2020,214.43,USD,-
Nike Inc Class                  B,Stock,11/26/2020,135.54,USD,-
Norfolk Southern Co,Stock,11/26/2020,242.4,USD,-
Procter & Gamble,Stock,11/26/2020,138.67999999999998,USD,-
Prudential Finl,Stock,11/26/2020,79.83,USD,-
Schwab Value Advantage Money Fund,Money Market Fund,11/26/2020,1.0,USD,-
SPDR S&P 600 Small Cap Value ETF,ETF,11/26/2020,64.06,USD,-
Starbucks Corp,Stock,11/26/2020,98.65,USD,-
United Parcel SRVC Class                  B,Stock,11/26/2020,171.51,USD,-
VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,11/26/2020,1057.0188666666666,USD,1
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,11/26/2020,0.0,USD,1
VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,11/26/2020,1048.3421999999996,USD,1
Vanguard FTSE Developed Markets ETF,ETF,11/26/2020,45.68,USD,-
Verizon Communicatn,Stock,11/26/2020,0.0,USD,-
Virginia State Res  5%22 **Partial**,Bond,11/26/2020,1096.3922222222222,USD,1
Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,11/26/2020,1094.162,USD,1
VMware Inc Class A,Stock,11/26/2020,0.0,USD,-
WalMart Inc,Stock,11/26/2020,151.83,USD,-
Walt Disney Co,Stock,11/26/2020,149.09,USD,-
Abbvie Inc,Stock,11/27/2020,104.89,USD,-
Adobe Inc,Stock,11/27/2020,477.03,USD,-
Agilent Technologies,Stock,11/27/2020,114.09,USD,-
Alibaba Group Holding  F Sponsored ADR,Stock,11/27/2020,276.48,USD,-
Alphabet Inc. Class                  A,Stock,11/27/2020,1787.02,USD,-
Amgen Inc.,Stock,11/27/2020,226.41,USD,-
Apple Inc,Stock,11/27/2020,116.59,USD,-
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,11/27/2020,1113.0589,USD,1
Bank Of America Corp,Stock,11/27/2020,28.99,USD,-
Becton Dickinson&co,Stock,11/27/2020,0.0,USD,-
BlackRock Inc,Stock,11/27/2020,715.11,USD,-
Borgwarner Inc Com,Stock,11/27/2020,0.0,USD,-
Boston Scientific Co,Stock,11/27/2020,0.0,USD,-
Bristol-Myers Squibb,Stock,11/27/2020,0.0,USD,-
Broadcom Inc,Stock,11/27/2020,394.95,USD,-
Cash,Cash,11/27/2020,1.0,USD,-
Cerner Corp,Stock,11/27/2020,74.1,USD,-
Change Healthcare Inc,Stock,11/27/2020,0.0,USD,-
Charles Schwab Corp,Stock,11/27/2020,49.7,USD,-
Chevron Corp,Stock,11/27/2020,92.6,USD,-
CIGNA Corp,Stock,11/27/2020,212.5,USD,-
Cisco Systems Inc,Stock,11/27/2020,42.7,USD,-
Comcast Corp Class                  A,Stock,11/27/2020,51.75,USD,-
Cummins Inc,Stock,11/27/2020,230.38,USD,-
Discover Finl S,Stock,11/27/2020,79.31,USD,-
Eastman Chemical Co,Stock,11/27/2020,99.9,USD,-
Emerson Electric Co,Stock,11/27/2020,78.665,USD,-
Exxon Mobil Corp,Stock,11/27/2020,0.0,USD,-
Facebook Inc Class                  A,Stock,11/27/2020,277.81,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,11/27/2020,1143.5978,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,11/27/2020,1142.3644,USD,1
Home Depot Inc,Stock,11/27/2020,275.99,USD,-
Intel Corp,Stock,11/27/2020,47.78,USD,-
iShares Core S&P Mid Cap ETF,ETF,11/27/2020,220.09,USD,-
iShares MSCI EAFE Growth ETF,ETF,11/27/2020,97.45,USD,-
iShares MSCI Emerging Markets ETF,ETF,11/27/2020,50.04,USD,-
Ishars Edg MSCI USA QLTY FCTR ETF,ETF,11/27/2020,112.88,USD,-
J P Morgan Chase & Co,Stock,11/27/2020,121.22,USD,-
Jabil Circuit Inc,Stock,11/27/2020,0.0,USD,-
Johnson & Johnson,Stock,11/27/2020,145.01,USD,-
JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,11/27/2020,0.0,USD,-
Kroger Co,Stock,11/27/2020,32.61,USD,-
L3harris Technologies In,Stock,11/27/2020,195.32,USD,-
Marathon Pete Corp,Stock,11/27/2020,42.0,USD,-
Masco Corp,Stock,11/27/2020,54.24,USD,-
Mastercard Inc Class                  A,Stock,11/27/2020,339.07,USD,-
Mckesson Corp Exchange Offer,Stock,11/27/2020,180.0,USD,-
Merck & Co. Inc.,Stock,11/27/2020,79.86,USD,-
Microsoft Corp,Stock,11/27/2020,215.79,USD,-
Nike Inc Class                  B,Stock,11/27/2020,134.25,USD,-
Norfolk Southern Co,Stock,11/27/2020,243.66,USD,-
Procter & Gamble,Stock,11/27/2020,138.61,USD,-
Prudential Finl,Stock,11/27/2020,79.19,USD,-
Schwab Value Advantage Money Fund,Money Market Fund,11/27/2020,1.0,USD,-
SPDR S&P 600 Small Cap Value ETF,ETF,11/27/2020,63.76,USD,-
Starbucks Corp,Stock,11/27/2020,98.66,USD,-
United Parcel SRVC Class                  B,Stock,11/27/2020,169.9,USD,-
VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,11/27/2020,1057.02,USD,1
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,11/27/2020,0.0,USD,1
VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,11/27/2020,1048.3411333333333,USD,1
Vanguard FTSE Developed Markets ETF,ETF,11/27/2020,46.0,USD,-
Verizon Communicatn,Stock,11/27/2020,0.0,USD,-
Virginia State Res  5%22 **Partial**,Bond,11/27/2020,1096.4011111111113,USD,1
Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,11/27/2020,1094.172,USD,1
VMware Inc Class A,Stock,11/27/2020,0.0,USD,-
WalMart Inc,Stock,11/27/2020,151.6,USD,-
Walt Disney Co,Stock,11/27/2020,147.13,USD,-
Abbvie Inc,Stock,11/28/2020,104.89,USD,-
Adobe Inc,Stock,11/28/2020,477.03,USD,-
Agilent Technologies,Stock,11/28/2020,114.09,USD,-
Alibaba Group Holding  F Sponsored ADR,Stock,11/28/2020,276.48,USD,-
Alphabet Inc. Class                  A,Stock,11/28/2020,1787.02,USD,-
Amgen Inc.,Stock,11/28/2020,226.41,USD,-
Apple Inc,Stock,11/28/2020,116.59,USD,-
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,11/28/2020,1113.17,USD,1
Bank Of America Corp,Stock,11/28/2020,28.99,USD,-
Becton Dickinson&co,Stock,11/28/2020,0.0,USD,-
BlackRock Inc,Stock,11/28/2020,715.11,USD,-
Borgwarner Inc Com,Stock,11/28/2020,0.0,USD,-
Boston Scientific Co,Stock,11/28/2020,0.0,USD,-
Bristol-Myers Squibb,Stock,11/28/2020,0.0,USD,-
Broadcom Inc,Stock,11/28/2020,394.95,USD,-
Cash,Cash,11/28/2020,1.0,USD,-
Cerner Corp,Stock,11/28/2020,74.1,USD,-
Change Healthcare Inc,Stock,11/28/2020,0.0,USD,-
Charles Schwab Corp,Stock,11/28/2020,49.7,USD,-
Chevron Corp,Stock,11/28/2020,92.6,USD,-
CIGNA Corp,Stock,11/28/2020,212.5,USD,-
Cisco Systems Inc,Stock,11/28/2020,42.7,USD,-
Comcast Corp Class                  A,Stock,11/28/2020,51.75,USD,-
Cummins Inc,Stock,11/28/2020,230.38,USD,-
Discover Finl S,Stock,11/28/2020,79.31,USD,-
Eastman Chemical Co,Stock,11/28/2020,99.9,USD,-
Emerson Electric Co,Stock,11/28/2020,78.665,USD,-
Exxon Mobil Corp,Stock,11/28/2020,0.0,USD,-
Facebook Inc Class                  A,Stock,11/28/2020,277.81,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,11/28/2020,1143.7367,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,11/28/2020,1142.5033,USD,1
Home Depot Inc,Stock,11/28/2020,275.99,USD,-
Intel Corp,Stock,11/28/2020,47.78,USD,-
iShares Core S&P Mid Cap ETF,ETF,11/28/2020,220.09,USD,-
iShares MSCI EAFE Growth ETF,ETF,11/28/2020,97.45,USD,-
iShares MSCI Emerging Markets ETF,ETF,11/28/2020,50.04,USD,-
Ishars Edg MSCI USA QLTY FCTR ETF,ETF,11/28/2020,112.88,USD,-
J P Morgan Chase & Co,Stock,11/28/2020,121.22,USD,-
Jabil Circuit Inc,Stock,11/28/2020,0.0,USD,-
Johnson & Johnson,Stock,11/28/2020,145.01,USD,-
JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,11/28/2020,0.0,USD,-
Kroger Co,Stock,11/28/2020,32.61,USD,-
L3harris Technologies In,Stock,11/28/2020,195.32,USD,-
Marathon Pete Corp,Stock,11/28/2020,42.0,USD,-
Masco Corp,Stock,11/28/2020,54.24,USD,-
Mastercard Inc Class                  A,Stock,11/28/2020,339.07,USD,-
Mckesson Corp Exchange Offer,Stock,11/28/2020,180.0,USD,-
Merck & Co. Inc.,Stock,11/28/2020,79.86,USD,-
Microsoft Corp,Stock,11/28/2020,215.79,USD,-
Nike Inc Class                  B,Stock,11/28/2020,134.25,USD,-
Norfolk Southern Co,Stock,11/28/2020,243.66,USD,-
Procter & Gamble,Stock,11/28/2020,138.61,USD,-
Prudential Finl,Stock,11/28/2020,79.19,USD,-
Schwab Value Advantage Money Fund,Money Market Fund,11/28/2020,1.0,USD,-
SPDR S&P 600 Small Cap Value ETF,ETF,11/28/2020,63.76,USD,-
Starbucks Corp,Stock,11/28/2020,98.66,USD,-
United Parcel SRVC Class                  B,Stock,11/28/2020,169.9,USD,-
VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,11/28/2020,1057.1311333333333,USD,1
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,11/28/2020,0.0,USD,1
VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,11/28/2020,1048.48,USD,1
Vanguard FTSE Developed Markets ETF,ETF,11/28/2020,46.0,USD,-
Verizon Communicatn,Stock,11/28/2020,0.0,USD,-
Virginia State Res  5%22 **Partial**,Bond,11/28/2020,1096.54,USD,1
Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,11/28/2020,1094.31,USD,1
VMware Inc Class A,Stock,11/28/2020,0.0,USD,-
WalMart Inc,Stock,11/28/2020,151.6,USD,-
Walt Disney Co,Stock,11/28/2020,147.13,USD,-
Abbvie Inc,Stock,11/29/2020,104.89,USD,-
Adobe Inc,Stock,11/29/2020,477.03,USD,-
Agilent Technologies,Stock,11/29/2020,114.09,USD,-
Alibaba Group Holding  F Sponsored ADR,Stock,11/29/2020,276.48,USD,-
Alphabet Inc. Class                  A,Stock,11/29/2020,1787.02,USD,-
Amgen Inc.,Stock,11/29/2020,226.41,USD,-
Apple Inc,Stock,11/29/2020,116.59,USD,-
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,11/29/2020,1113.2811,USD,1
Bank Of America Corp,Stock,11/29/2020,28.99,USD,-
Becton Dickinson&co,Stock,11/29/2020,0.0,USD,-
BlackRock Inc,Stock,11/29/2020,715.11,USD,-
Borgwarner Inc Com,Stock,11/29/2020,0.0,USD,-
Boston Scientific Co,Stock,11/29/2020,0.0,USD,-
Bristol-Myers Squibb,Stock,11/29/2020,0.0,USD,-
Broadcom Inc,Stock,11/29/2020,394.95,USD,-
Cash,Cash,11/29/2020,1.0,USD,-
Cerner Corp,Stock,11/29/2020,74.1,USD,-
Change Healthcare Inc,Stock,11/29/2020,0.0,USD,-
Charles Schwab Corp,Stock,11/29/2020,49.7,USD,-
Chevron Corp,Stock,11/29/2020,92.6,USD,-
CIGNA Corp,Stock,11/29/2020,212.5,USD,-
Cisco Systems Inc,Stock,11/29/2020,42.7,USD,-
Comcast Corp Class                  A,Stock,11/29/2020,51.75,USD,-
Cummins Inc,Stock,11/29/2020,230.38,USD,-
Discover Finl S,Stock,11/29/2020,79.31,USD,-
Eastman Chemical Co,Stock,11/29/2020,99.9,USD,-
Emerson Electric Co,Stock,11/29/2020,78.665,USD,-
Exxon Mobil Corp,Stock,11/29/2020,0.0,USD,-
Facebook Inc Class                  A,Stock,11/29/2020,277.81,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,11/29/2020,1143.8756,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,11/29/2020,1142.6422,USD,1
Home Depot Inc,Stock,11/29/2020,275.99,USD,-
Intel Corp,Stock,11/29/2020,47.78,USD,-
iShares Core S&P Mid Cap ETF,ETF,11/29/2020,220.09,USD,-
iShares MSCI EAFE Growth ETF,ETF,11/29/2020,97.45,USD,-
iShares MSCI Emerging Markets ETF,ETF,11/29/2020,50.04,USD,-
Ishars Edg MSCI USA QLTY FCTR ETF,ETF,11/29/2020,112.88,USD,-
J P Morgan Chase & Co,Stock,11/29/2020,121.22,USD,-
Jabil Circuit Inc,Stock,11/29/2020,0.0,USD,-
Johnson & Johnson,Stock,11/29/2020,145.01,USD,-
JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,11/29/2020,0.0,USD,-
Kroger Co,Stock,11/29/2020,32.61,USD,-
L3harris Technologies In,Stock,11/29/2020,195.32,USD,-
Marathon Pete Corp,Stock,11/29/2020,42.0,USD,-
Masco Corp,Stock,11/29/2020,54.24,USD,-
Mastercard Inc Class                  A,Stock,11/29/2020,339.07,USD,-
Mckesson Corp Exchange Offer,Stock,11/29/2020,180.0,USD,-
Merck & Co. Inc.,Stock,11/29/2020,79.86,USD,-
Microsoft Corp,Stock,11/29/2020,215.79,USD,-
Nike Inc Class                  B,Stock,11/29/2020,134.25,USD,-
Norfolk Southern Co,Stock,11/29/2020,243.66,USD,-
Procter & Gamble,Stock,11/29/2020,138.61,USD,-
Prudential Finl,Stock,11/29/2020,79.19,USD,-
Schwab Value Advantage Money Fund,Money Market Fund,11/29/2020,1.0,USD,-
SPDR S&P 600 Small Cap Value ETF,ETF,11/29/2020,63.76,USD,-
Starbucks Corp,Stock,11/29/2020,98.66,USD,-
United Parcel SRVC Class                  B,Stock,11/29/2020,169.9,USD,-
VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,11/29/2020,1057.2422,USD,1
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,11/29/2020,0.0,USD,1
VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,11/29/2020,1048.6188666666667,USD,1
Vanguard FTSE Developed Markets ETF,ETF,11/29/2020,46.0,USD,-
Verizon Communicatn,Stock,11/29/2020,0.0,USD,-
Virginia State Res  5%22 **Partial**,Bond,11/29/2020,1096.6788888888887,USD,1
Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,11/29/2020,1094.448,USD,1
VMware Inc Class A,Stock,11/29/2020,0.0,USD,-
WalMart Inc,Stock,11/29/2020,151.6,USD,-
Walt Disney Co,Stock,11/29/2020,147.13,USD,-
Abbvie Inc,Stock,11/30/2020,104.58,USD,-
Adobe Inc,Stock,11/30/2020,478.47,USD,-
Agilent Technologies,Stock,11/30/2020,116.9,USD,-
Alibaba Group Holding  F Sponsored ADR,Stock,11/30/2020,263.36,USD,-
Alphabet Inc. Class                  A,Stock,11/30/2020,1754.4,USD,-
Amgen Inc.,Stock,11/30/2020,223.64,USD,-
Apple Inc,Stock,11/30/2020,119.05,USD,-
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,11/30/2020,1113.2822,USD,1
Bank Of America Corp,Stock,11/30/2020,28.16,USD,-
Becton Dickinson&co,Stock,11/30/2020,0.0,USD,-
BlackRock Inc,Stock,11/30/2020,698.35,USD,-
Borgwarner Inc Com,Stock,11/30/2020,0.0,USD,-
Boston Scientific Co,Stock,11/30/2020,0.0,USD,-
Bristol-Myers Squibb,Stock,11/30/2020,0.0,USD,-
Broadcom Inc,Stock,11/30/2020,401.58,USD,-
Cash,Cash,11/30/2020,1.0,USD,-
Cerner Corp,Stock,11/30/2020,74.84,USD,-
Change Healthcare Inc,Stock,11/30/2020,0.0,USD,-
Charles Schwab Corp,Stock,11/30/2020,48.78,USD,-
Chevron Corp,Stock,11/30/2020,88.47,USD,-
CIGNA Corp,Stock,11/30/2020,209.14,USD,-
Cisco Systems Inc,Stock,11/30/2020,43.02,USD,-
Comcast Corp Class                  A,Stock,11/30/2020,50.24,USD,-
Cummins Inc,Stock,11/30/2020,232.52,USD,-
Discover Finl S,Stock,11/30/2020,76.61,USD,-
Eastman Chemical Co,Stock,11/30/2020,97.4,USD,-
Emerson Electric Co,Stock,11/30/2020,77.325,USD,-
Exxon Mobil Corp,Stock,11/30/2020,0.0,USD,-
Facebook Inc Class                  A,Stock,11/30/2020,276.97,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,11/30/2020,1143.8944,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,11/30/2020,1142.6611,USD,1
Home Depot Inc,Stock,11/30/2020,277.41,USD,-
Intel Corp,Stock,11/30/2020,48.68,USD,-
iShares Core S&P Mid Cap ETF,ETF,11/30/2020,216.52,USD,-
iShares MSCI EAFE Growth ETF,ETF,11/30/2020,96.15,USD,-
iShares MSCI Emerging Markets ETF,ETF,11/30/2020,48.73,USD,-
Ishars Edg MSCI USA QLTY FCTR ETF,ETF,11/30/2020,112.46,USD,-
J P Morgan Chase & Co,Stock,11/30/2020,117.88,USD,-
Jabil Circuit Inc,Stock,11/30/2020,0.0,USD,-
Johnson & Johnson,Stock,11/30/2020,145.69,USD,-
JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,11/30/2020,0.0,USD,-
Kroger Co,Stock,11/30/2020,33.18,USD,-
L3harris Technologies In,Stock,11/30/2020,192.84,USD,-
Marathon Pete Corp,Stock,11/30/2020,39.46,USD,-
Masco Corp,Stock,11/30/2020,53.67,USD,-
Mastercard Inc Class                  A,Stock,11/30/2020,336.51,USD,-
Mckesson Corp Exchange Offer,Stock,11/30/2020,180.33,USD,-
Merck & Co. Inc.,Stock,11/30/2020,80.39,USD,-
Microsoft Corp,Stock,11/30/2020,214.63,USD,-
Nike Inc Class                  B,Stock,11/30/2020,134.7,USD,-
Norfolk Southern Co,Stock,11/30/2020,237.96,USD,-
Procter & Gamble,Stock,11/30/2020,138.87,USD,-
Prudential Finl,Stock,11/30/2020,76.72,USD,-
Schwab Value Advantage Money Fund,Money Market Fund,11/30/2020,1.0,USD,-
SPDR S&P 600 Small Cap Value ETF,ETF,11/30/2020,61.9,USD,-
Starbucks Corp,Stock,11/30/2020,98.02,USD,-
United Parcel SRVC Class                  B,Stock,11/30/2020,172.08,USD,-
VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,11/30/2020,1057.2533333333333,USD,1
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,11/30/2020,0.0,USD,1
VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,11/30/2020,1048.6278,USD,1
Vanguard FTSE Developed Markets ETF,ETF,11/30/2020,45.09,USD,-
Verizon Communicatn,Stock,11/30/2020,0.0,USD,-
Virginia State Res  5%22 **Partial**,Bond,11/30/2020,1096.6777777777775,USD,1
Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,11/30/2020,1094.458,USD,1
VMware Inc Class A,Stock,11/30/2020,0.0,USD,-
WalMart Inc,Stock,11/30/2020,152.79,USD,-
Walt Disney Co,Stock,11/30/2020,148.01,USD,-
Abbvie Inc,Stock,12/1/2020,104.04,USD,-
Adobe Inc,Stock,12/1/2020,479.15,USD,-
Agilent Technologies,Stock,12/1/2020,115.36,USD,-
Alibaba Group Holding  F Sponsored ADR,Stock,12/1/2020,264.01,USD,-
Alphabet Inc. Class                  A,Stock,12/1/2020,1795.36,USD,-
Amgen Inc.,Stock,12/1/2020,226.68,USD,-
Apple Inc,Stock,12/1/2020,122.72,USD,-
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,12/1/2020,1113.2933,USD,1
Bank Of America Corp,Stock,12/1/2020,28.69,USD,-
Becton Dickinson&co,Stock,12/1/2020,0.0,USD,-
BlackRock Inc,Stock,12/1/2020,715.23,USD,-
Borgwarner Inc Com,Stock,12/1/2020,0.0,USD,-
Boston Scientific Co,Stock,12/1/2020,0.0,USD,-
Bristol-Myers Squibb,Stock,12/1/2020,0.0,USD,-
Broadcom Inc,Stock,12/1/2020,404.57,USD,-
Cash,Cash,12/1/2020,1.0,USD,-
Cerner Corp,Stock,12/1/2020,75.37,USD,-
Change Healthcare Inc,Stock,12/1/2020,0.0,USD,-
Charles Schwab Corp,Stock,12/1/2020,50.02,USD,-
Chevron Corp,Stock,12/1/2020,88.74000000000002,USD,-
CIGNA Corp,Stock,12/1/2020,207.51,USD,-
Cisco Systems Inc,Stock,12/1/2020,43.54,USD,-
Comcast Corp Class                  A,Stock,12/1/2020,51.02,USD,-
Cummins Inc,Stock,12/1/2020,231.71,USD,-
Discover Finl S,Stock,12/1/2020,80.59,USD,-
Eastman Chemical Co,Stock,12/1/2020,98.78,USD,-
Emerson Electric Co,Stock,12/1/2020,76.275,USD,-
Exxon Mobil Corp,Stock,12/1/2020,0.0,USD,-
Facebook Inc Class                  A,Stock,12/1/2020,286.55,USD,-
Fairfax CNTY VA     5%23 Go Utx      Due 10/01/23,Bond,12/1/2020,1143.8933,USD,1
Hampton VA          5%23 Go Utx      Due 09/01/23,Bond,12/1/2020,1142.66,USD,1
Home Depot Inc,Stock,12/1/2020,276.6,USD,-
Intel Corp,Stock,12/1/2020,49.56,USD,-
iShares Core S&P Mid Cap ETF,ETF,12/1/2020,219.16,USD,-
iShares MSCI EAFE Growth ETF,ETF,12/1/2020,97.9,USD,-
iShares MSCI Emerging Markets ETF,ETF,12/1/2020,49.69,USD,-
Ishars Edg MSCI USA QLTY FCTR ETF,ETF,12/1/2020,114.01,USD,-
J P Morgan Chase & Co,Stock,12/1/2020,119.74,USD,-
Jabil Circuit Inc,Stock,12/1/2020,0.0,USD,-
Johnson & Johnson,Stock,12/1/2020,148.46,USD,-
JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,12/1/2020,0.0,USD,-
Kroger Co,Stock,12/1/2020,33.01,USD,-
L3harris Technologies In,Stock,12/1/2020,192.69,USD,-
Marathon Pete Corp,Stock,12/1/2020,40.03,USD,-
Masco Corp,Stock,12/1/2020,53.83,USD,-
Mastercard Inc Class                  A,Stock,12/1/2020,338.88,USD,-
Mckesson Corp Exchange Offer,Stock,12/1/2020,179.42000000000004,USD,-
Merck & Co. Inc.,Stock,12/1/2020,81.55,USD,-
Microsoft Corp,Stock,12/1/2020,216.77,USD,-
Nike Inc Class                  B,Stock,12/1/2020,135.44,USD,-
Norfolk Southern Co,Stock,12/1/2020,239.69,USD,-
Procter & Gamble,Stock,12/1/2020,139.37,USD,-
Prudential Finl,Stock,12/1/2020,78.21,USD,-
Schwab Value Advantage Money Fund,Money Market Fund,12/1/2020,1.0,USD,-
SPDR S&P 600 Small Cap Value ETF,ETF,12/1/2020,62.72,USD,-
Starbucks Corp,Stock,12/1/2020,98.82,USD,-
United Parcel SRVC Class                  B,Stock,12/1/2020,168.97,USD,-
VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,12/1/2020,1057.2544666666668,USD,1
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,12/1/2020,0.0,USD,1
VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,12/1/2020,1048.6366666666668,USD,1
Vanguard FTSE Developed Markets ETF,ETF,12/1/2020,46.06,USD,-
Verizon Communicatn,Stock,12/1/2020,0.0,USD,-
Virginia State Res  5%22 **Partial**,Bond,12/1/2020,1096.6866666666667,USD,1
Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,12/1/2020,1094.4660000000001,USD,1
VMware Inc Class A,Stock,12/1/2020,0.0,USD,-
WalMart Inc,Stock,12/1/2020,152.64,USD,-
Walt Disney Co,Stock,12/1/2020,149.44,USD,-
Abbvie Inc,Stock,12/2/2020,104.99,USD,-
Adobe Inc,Stock,12/2/2020,481.2600000000001,USD,-
Agilent Technologies,Stock,12/2/2020,114.57,USD,-
Alibaba Group Holding  F Sponsored ADR,Stock,12/2/2020,261.32,USD,-
Alphabet Inc. Class                  A,Stock,12/2/2020,1824.97,USD,-
Amgen Inc.,Stock,12/2/2020,228.16,USD,-
Apple Inc,Stock,12/2/2020,123.08,USD,-
Arlington CNTY VA   4%27 Go Utx      Due 08/01/27,Bond,12/2/2020,1113.5744,USD,1
Bank Of America Corp,Stock,12/2/2020,29.06,USD,-
Becton Dickinson&co,Stock,12/2/2020,0.0,USD,-
BlackRock Inc,Stock,12/2/2020,718.36,USD,-
Borgwarner Inc Com,Stock,12/2/2020,0.0,USD,-
Boston Scientific Co,Stock,12/2/2020,0.0,USD,-
