Owned_Name,Owned_Type,Date,Price,Currency,Principal_Factor
Johnson & Johnson,Stock,7/3/2020,140.97,USD,-
JPMorgan Ultra SHRT Muncipl Incm ETF,ETF,7/3/2020,0.0,USD,-
Kroger Co,Stock,7/3/2020,33.5,USD,-
L3harris Technologies In,Stock,7/3/2020,172.0,USD,-
Marathon Pete Corp,Stock,7/3/2020,36.07,USD,-
Masco Corp,Stock,7/3/2020,50.14,USD,-
Mastercard Inc Class                  A,Stock,7/3/2020,302.42,USD,-
Mckesson Corp Exchange Offer,Stock,7/3/2020,152.73,USD,-
Merck & Co. Inc.,Stock,7/3/2020,79.39,USD,-
Microsoft Corp,Stock,7/3/2020,206.26,USD,-
Nike Inc Class                  B,Stock,7/3/2020,98.43,USD,-
Norfolk Southern Co,Stock,7/3/2020,174.51,USD,-
Procter & Gamble,Stock,7/3/2020,120.88,USD,-
Prudential Finl,Stock,7/3/2020,59.3,USD,-
Schwab Value Advantage Money Fund,Money Market Fund,7/3/2020,1.0,USD,-
SPDR S&P 600 Small Cap Value ETF,ETF,7/3/2020,48.42,USD,-
Starbucks Corp,Stock,7/3/2020,73.78,USD,-
United Parcel SRVC Class                  B,Stock,7/3/2020,114.36,USD,-
VA CMWLTH Trans BRD 4%26 GRNT        Due 03/15/26,Bond,7/3/2020,1074.98,USD,1
VA CMWLTH Univ      5%20 Pub Educ    Due 11/01/20,Bond,7/3/2020,1023.3711,USD,1
VA ST Pub BLDG Auth 5%21 BLDG Auth   Due 08/01/21,Bond,7/3/2020,1072.0111333333334,USD,1
Vanguard FTSE Developed Markets ETF,ETF,7/3/2020,39.31,USD,-
Verizon Communicatn,Stock,7/3/2020,54.79,USD,-
Virginia State Res  5%22 **Partial**,Bond,7/3/2020,1117.2511111111112,USD,1
Virginia State Res  5%22 Finl Auth   Due 11/01/22,Bond,7/3/2020,1114.572,USD,1
VMware Inc Class A,Stock,7/3/2020,0.0,USD,-
WalMart Inc,Stock,7/3/2020,119.21,USD,-
Walt Disney Co,Stock,7/3/2020,112.18,USD,-
Abbvie Inc,Stock,7/4/2020,98.88,USD,-
Adobe Inc,Stock,7/4/2020,442.95,USD,-
Agilent Technologies,Stock,7/4/2020,0.0,USD,-
